feature_id_standardized	gene_symbol	description	gene_biotype	annotation_release
NCBI:GeneID:105338677	LOC105338677	ras-related protein Rab-30	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329524	LOC105329524	polycomb group RING finger protein 3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338893	LOC105338893	perlucin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333437	LOC105333437	long-chain specific acyl-CoA dehydrogenase, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341793	LOC105341793	solute carrier organic anion transporter family member 4A1	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326291	LOC105326291	adipocyte plasma membrane-associated protein	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105322186	LOC105322186	uncharacterized LOC105322186	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328653	LOC105328653	proteasome subunit alpha type-7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105332005	LOC105332005	multiple epidermal growth factor-like domains protein 11	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329098	LOC105329098	uncharacterized LOC105329098	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348947	LOC105348947	tumor suppressor candidate 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338424	LOC105338424	zinc finger CCCH domain-containing protein 15	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336612	LOC105336612	cystathionine beta-synthase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317646	LOC105317646	beta-1,3-galactosyltransferase 5	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273472	LOC136273472	piggyBac transposable element-derived protein 4-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331244	LOC105331244	tripartite motif-containing protein 3-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105327330	LOC105327330	innexin unc-9	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117681182	LOC117681182	uncharacterized LOC117681182	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105339548	LOC105339548	uncharacterized LOC105339548	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136272329	LOC136272329	uncharacterized LOC136272329	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136271514	LOC136271514	uncharacterized LOC136271514	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105344804	LOC105344804	CD276 antigen homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105333978	LOC105333978	uncharacterized LOC105333978	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105343804	LOC105343804	nucleolar RNA helicase 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330727	LOC105330727	cilia- and flagella-associated protein 157	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274311	LOC136274311	interferon-induced protein 44-like	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317316	LOC105317316	large ribosomal subunit protein bL17m	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326250	LOC105326250	ubiquitin-like-conjugating enzyme ATG3	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329862	LOC105329862	protein Fe65 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105342657	LOC105342657	uncharacterized LOC105342657	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328612	LOC105328612	tyrosine-protein phosphatase non-receptor type 4	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136273051	LOC136273051	uncharacterized LOC136273051	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330231	LOC105330231	kinesin-like protein KIF28P	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330992	LOC105330992	anoctamin-7	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105323592	LOC105323592	uncharacterized LOC105323592	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105328032	LOC105328032	protocadherin beta-8	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330220	LOC105330220	uncharacterized LOC105330220	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105335379	LOC105335379	uncharacterized LOC105335379	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136274790	LOC136274790	uncharacterized LOC136274790	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117682494	LOC117682494	uncharacterized LOC117682494	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105336067	LOC105336067	uroporphyrinogen-III synthase	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105341099	LOC105341099	uncharacterized LOC105341099	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105348241	LOC105348241	protein Wnt-6	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105321601	LOC105321601	uncharacterized LOC105321601	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105340770	LOC105340770	uncharacterized LOC105340770	lncRNA	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105331179	LOC105331179	transient receptor potential cation channel subfamily A member 1 homolog	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325140	LOC105325140	myoneurin	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:136275317	LOC136275317	uncharacterized LOC136275317	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105317691	LOC105317691	signal peptidase complex catalytic subunit SEC11A	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105329391	LOC105329391	acylamino-acid-releasing enzyme	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105345626	LOC105345626	actin-related protein 10	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105330139	LOC105330139	palmitoyltransferase ZDHHC11	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:117692575	LOC117692575	proline dehydrogenase 1, mitochondrial	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105338747	LOC105338747	von Willebrand factor A domain-containing protein 3B	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105326121	LOC105326121	cysteine-rich with EGF-like domain protein 2	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105318450	LOC105318450	uncharacterized LOC105318450	protein_coding	GCF_963853765.1-RS_2024_06
NCBI:GeneID:105325966	LOC105325966	cdc42 homolog	protein_coding	GCF_963853765.1-RS_2024_06
