sample_comparison	feature_id_original	feature_type	molecular_direction	effect_size	effect_size_type	standard_error	p_value	adjusted_p_value	analysis_method	quality_flags
heat_35C_2h_vs_control_12C	CGI_10022740	gene	up	0.91592958899181	log2_fold_change			0.0248468259986172	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_2560	gene	up	0.899650845412932	log2_fold_change			0.0399834910251239	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10017270	gene	up	0.886099703080827	log2_fold_change			0.00470581424545822	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10025961	gene	up	0.881914165091207	log2_fold_change			0.0271884751560982	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10021953	gene	up	0.872486080788415	log2_fold_change			0.0372582860173497	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10000743	gene	up	0.867262748146603	log2_fold_change			0.000599657537039452	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10024459	gene	up	0.86287297889103	log2_fold_change			0.0319597129728178	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10022884	gene	up	0.845988149745036	log2_fold_change			0.00384235878715496	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10011513	gene	up	0.839371052594848	log2_fold_change			0.0323888993743929	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10023822	gene	up	0.824129638711445	log2_fold_change			0.00000120945142856837	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10022003	gene	up	0.823639639057308	log2_fold_change			0.00150606446907984	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10015364	gene	up	0.757021074089616	log2_fold_change			0.0286820170002523	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10006400	gene	up	0.745023932026519	log2_fold_change			0.0141512867028748	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_35755	gene	up	0.701395172537801	log2_fold_change			0.0464527341681585	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	Crassostrea_gigas_newGene_3329	gene	up	0.692359870811674	log2_fold_change			0.035228166606498	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10018833	gene	up	0.670908983209324	log2_fold_change			0.0170925626406661	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10026304	gene	up	0.66337519861448	log2_fold_change			0.000034074721939596	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10009013	gene	up	0.651128031787295	log2_fold_change			1.43953199413143e-7	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
heat_35C_2h_vs_control_12C	CGI_10015297	gene	up	0.611608376278604	log2_fold_change			0.0320381841399734	DESeq2_publication_FDR_le_0.05_FC_ge_1.5	published_significant_deg;standard_error_unavailable;raw_p_value_unavailable;legacy_identifier_unmapped
